room_num,image_options,target_image,stage_num,trial_num,round_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_2,1,1,1,FALSE,NA,order,1,1,2,1,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_1_2,1,2,1,FALSE,NA,order,1,1,2,2,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_3,1,3,1,FALSE,NA,order,1,1,2,3,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_3_3,1,4,2,FALSE,NA,order,1,1,2,4,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_1,1,5,2,FALSE,NA,order,1,1,2,5,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_2,1,6,2,FALSE,NA,order,1,1,2,6,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_3,1,7,3,FALSE,NA,order,1,1,2,7,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_4,1,8,3,FALSE,NA,order,1,1,2,8,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_3_4,1,9,3,FALSE,NA,order,1,1,2,9,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_2,1,10,4,FALSE,NA,order,1,1,2,10,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_1_4,1,11,4,FALSE,NA,order,1,1,2,11,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_3_3,1,12,4,FALSE,NA,order,1,1,2,12,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_1_3,1,15,5,FALSE,NA,order,1,2,1,13,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_3,1,13,5,FALSE,NA,order,1,2,1,14,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_4,1,14,5,FALSE,NA,order,1,2,1,15,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_1,1,16,6,FALSE,NA,order,1,2,1,16,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_3_1,1,17,6,FALSE,NA,order,1,2,1,17,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_1,1,18,6,FALSE,NA,order,1,2,1,18,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_3,1,19,7,FALSE,NA,order,1,2,1,19,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_2_2,1,20,7,FALSE,NA,order,1,2,1,20,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_1_1,1,21,7,FALSE,NA,order,1,2,1,21,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_4_4,1,22,8,FALSE,NA,order,1,2,1,22,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_3_2,1,23,8,FALSE,NA,order,1,2,1,23,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_1_4,1,24,8,FALSE,NA,order,1,2,1,24,1
1,1_1_1;1_1_2;1_1_3;1_1_4;1_2_1;1_2_2;1_2_3;1_2_4;1_3_1;1_3_2;1_3_3;1_3_4;1_4_1;1_4_2;1_4_3;1_4_4,1_1_2,1,27,9,FALSE,NA,order,1,1,2,25,1
