id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JJCNV1E08E927HNDYX2BEQ25,2,2025-01-24T17:54:46.307508078Z,01JJCNV1DTTHP0Q6VQ60EAB8FE,2025-01-24T17:30:30.720586124Z,"[135,109,289,316]",2025-01-24T17:54:46.419155841Z,4,2025-01-24T17:54:46.320056571Z,comp-between,2025-01-24T17:54:46.320056571Z,true,2025-01-24T18:18:38.551259322Z,false,2025-01-24T17:54:46.320056571Z,end of game,2025-01-24T18:18:38.577596937Z,01JJCNV1E9WQYSBBYNCSGVGRV6,2025-01-24T17:30:30.730732498Z,false,2025-01-24T17:54:48.470970786Z,5,2025-01-24T17:54:46.320056571Z,0,2025-01-24T17:57:34.978557747Z,90,2025-01-24T17:54:46.320056571Z,63,2025-01-24T17:54:46.419155841Z,1,2025-01-24T17:54:46.320056571Z,null,2025-01-24T18:18:38.551259322Z,true,2025-01-24T17:54:46.307508078Z,true,2025-01-24T17:54:46.307508078Z,ended,2025-01-24T18:18:38.577596937Z,"[[85,135],[85,109],[85,289],[85,316],[412,135],[412,109],[412,289],[412,316],[71,135],[71,109],[71,289],[71,316],[42,135],[42,109],[42,289],[42,316]]",2025-01-24T17:54:46.419155841Z,"[85,412,71,42]",2025-01-24T17:54:46.419155841Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T17:30:30.720586124Z,full-comp-between,2025-01-24T17:30:30.720586124Z
01JJCNV38ZRGGPSFZGNDC3YV04,2,2025-01-24T18:03:39.374747554Z,01JJCNV38Q0TEHCP1RFXNVJEGB,2025-01-24T17:30:32.607069347Z,"[24,175,350,304]",2025-01-24T18:03:39.59570916Z,4,2025-01-24T18:03:39.398875635Z,comp-between,2025-01-24T18:03:39.398875635Z,true,2025-01-24T18:33:21.570231278Z,false,2025-01-24T18:03:39.398875635Z,end of game,2025-01-24T18:33:21.613545965Z,01JJCNV398XSP5A02WCV2M9JF6,2025-01-24T17:30:32.617507295Z,false,2025-01-24T18:03:43.978577732Z,5,2025-01-24T18:03:39.398875635Z,0,2025-01-24T18:09:21.93188893Z,90,2025-01-24T18:03:39.398875635Z,63,2025-01-24T18:03:39.59570916Z,1,2025-01-24T18:03:39.398875635Z,null,2025-01-24T18:33:21.570231278Z,true,2025-01-24T18:03:39.374747554Z,true,2025-01-24T18:03:39.374747554Z,ended,2025-01-24T18:33:21.613545965Z,"[[21,24],[21,175],[21,350],[21,304],[187,24],[187,175],[187,350],[187,304],[63,24],[63,175],[63,350],[63,304],[138,24],[138,175],[138,350],[138,304]]",2025-01-24T18:03:39.59570916Z,"[21,187,63,138]",2025-01-24T18:03:39.59570916Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T17:30:32.607069347Z,full-comp-between,2025-01-24T17:30:32.607069347Z
01JJCYKQKA57Q9B5FJT20YWS5N,2,2025-01-24T20:08:13.72611573Z,01JJCYKQHPSFZ0MBD58DEGVZXW,2025-01-24T20:03:48.458503964Z,"[194,68,307,89]",2025-01-24T20:08:15.253813434Z,4,2025-01-24T20:08:13.842464189Z,comp-between,2025-01-24T20:08:13.842464189Z,true,2025-01-24T20:35:28.45817109Z,false,2025-01-24T20:08:13.842464189Z,end of game,2025-01-24T20:35:28.548057031Z,01JJCYKQPGTN2RGHS41ME14SEP,2025-01-24T20:03:48.564601133Z,false,2025-01-24T20:08:43.22426879Z,5,2025-01-24T20:08:13.842464189Z,0,2025-01-24T20:11:10.391885678Z,180,2025-01-24T20:08:13.842464189Z,63,2025-01-24T20:08:15.253813434Z,1,2025-01-24T20:08:13.842464189Z,null,2025-01-24T20:35:28.45817109Z,true,2025-01-24T20:08:13.72611573Z,true,2025-01-24T20:08:13.72611573Z,ended,2025-01-24T20:35:28.548057031Z,"[[179,194],[179,68],[179,307],[179,89],[35,194],[35,68],[35,307],[35,89],[460,194],[460,68],[460,307],[460,89],[36,194],[36,68],[36,307],[36,89]]",2025-01-24T20:08:15.253813434Z,"[179,35,460,36]",2025-01-24T20:08:15.253813434Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T20:03:48.458503964Z,full-comp-between,2025-01-24T20:03:48.458503964Z
01JJCYKSEA8BWWZYQKVTRHA73K,2,2025-01-24T20:10:34.232656295Z,01JJCYKSCC2MSB03DG2W0V12DY,2025-01-24T20:03:50.346051337Z,"[336,219,274,120]",2025-01-24T20:10:35.998591445Z,4,2025-01-24T20:10:34.361319115Z,comp-between,2025-01-24T20:10:34.361319115Z,true,2025-01-24T20:34:46.756984302Z,false,2025-01-24T20:10:34.361319115Z,end of game,2025-01-24T20:34:46.880347653Z,01JJCYKSHCH5ASXM65G08HK96V,2025-01-24T20:03:50.448478638Z,false,2025-01-24T20:11:07.173882142Z,5,2025-01-24T20:10:34.361319115Z,0,2025-01-24T20:10:34.361319115Z,90,2025-01-24T20:10:34.361319115Z,63,2025-01-24T20:10:35.998591445Z,1,2025-01-24T20:10:34.361319115Z,null,2025-01-24T20:34:46.756984302Z,true,2025-01-24T20:10:34.232656295Z,true,2025-01-24T20:10:34.232656295Z,ended,2025-01-24T20:34:46.880347653Z,"[[387,336],[387,219],[387,274],[387,120],[79,336],[79,219],[79,274],[79,120],[188,336],[188,219],[188,274],[188,120],[178,336],[178,219],[178,274],[178,120]]",2025-01-24T20:10:35.998591445Z,"[387,79,188,178]",2025-01-24T20:10:35.998591445Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T20:03:50.346051337Z,full-comp-between,2025-01-24T20:03:50.346051337Z
01JJCYKT12EV915TTVG865FHHB,2,2025-01-24T20:11:52.621604742Z,01JJCYKSZHM7F3F7JA0R0J3P3J,2025-01-24T20:03:50.946139758Z,"[43,136,83,216]",2025-01-24T20:11:54.407108273Z,4,2025-01-24T20:11:52.754632553Z,comp-between,2025-01-24T20:11:52.754632553Z,true,2025-01-24T20:32:13.753244036Z,false,2025-01-24T20:11:52.754632553Z,end of game,2025-01-24T20:32:13.838135731Z,01JJCYKT4P0D0XQPDA9M0NGEGC,2025-01-24T20:03:51.064529305Z,false,2025-01-24T20:12:26.904694939Z,5,2025-01-24T20:11:52.754632553Z,0,2025-01-24T20:11:52.754632553Z,180,2025-01-24T20:11:52.754632553Z,63,2025-01-24T20:11:54.407108273Z,1,2025-01-24T20:11:52.754632553Z,null,2025-01-24T20:32:13.753244036Z,true,2025-01-24T20:11:52.621604742Z,true,2025-01-24T20:11:52.621604742Z,ended,2025-01-24T20:32:13.838135731Z,"[[461,43],[461,136],[461,83],[461,216],[456,43],[456,136],[456,83],[456,216],[396,43],[396,136],[396,83],[396,216],[10,43],[10,136],[10,83],[10,216]]",2025-01-24T20:11:54.407108273Z,"[461,456,396,10]",2025-01-24T20:11:54.407108273Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T20:03:50.946139758Z,full-comp-between,2025-01-24T20:03:50.946139758Z
01JJCYKVBDFREZ84R9736KT40J,2,2025-01-24T20:18:36.35129165Z,01JJCYKV9W8QZVSVZ659FS732R,2025-01-24T20:03:52.301295446Z,"[159,216,305,71]",2025-01-24T20:18:38.569103915Z,4,2025-01-24T20:18:36.505214177Z,comp-between,2025-01-24T20:18:36.505214177Z,true,2025-01-24T20:49:59.236579226Z,false,2025-01-24T20:18:36.505214177Z,end of game,2025-01-24T20:49:59.33353062Z,01JJCYKVFNK73SJ49JWY2Z9A80,2025-01-24T20:03:52.440794635Z,false,2025-01-24T20:19:17.3206575Z,5,2025-01-24T20:18:36.505214177Z,0,2025-01-24T20:29:17.289847561Z,0,2025-01-24T20:18:36.505214177Z,63,2025-01-24T20:18:38.569103915Z,1,2025-01-24T20:18:36.505214177Z,null,2025-01-24T20:49:59.236579226Z,true,2025-01-24T20:18:36.35129165Z,true,2025-01-24T20:18:36.35129165Z,ended,2025-01-24T20:49:59.33353062Z,"[[359,159],[359,216],[359,305],[359,71],[207,159],[207,216],[207,305],[207,71],[299,159],[299,216],[299,305],[299,71],[402,159],[402,216],[402,305],[402,71]]",2025-01-24T20:18:38.569103915Z,"[359,207,299,402]",2025-01-24T20:18:38.569103915Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T20:03:52.301295446Z,full-comp-between,2025-01-24T20:03:52.301295446Z
01JJCYM41HT98NGYQMHZ2RSMTB,2,2025-01-24T20:41:11.465588446Z,01JJCYM3Z4AC9THY182AHMG602,2025-01-24T20:04:01.202008193Z,"[135,109,289,316]",2025-01-24T20:41:14.398805504Z,4,2025-01-24T20:41:11.697764209Z,comp-between,2025-01-24T20:41:11.697764209Z,true,2025-01-24T20:47:30.241629851Z,true,2025-01-24T20:47:30.191091388Z,timeOut,2025-01-24T20:47:30.191091388Z,01JJCYM457X86TDMAYYMPWQKRR,2025-01-24T20:04:01.323596033Z,false,2025-01-24T20:42:10.23789655Z,5,2025-01-24T20:41:11.697764209Z,5,2025-01-24T20:47:30.191091388Z,0,2025-01-24T20:41:11.697764209Z,63,2025-01-24T20:41:14.398805504Z,1,2025-01-24T20:41:11.697764209Z,null,2025-01-24T20:47:30.241629851Z,true,2025-01-24T20:41:11.465588446Z,true,2025-01-24T20:41:11.465588446Z,ended,2025-01-24T20:47:30.191091388Z,"[[85,135],[85,109],[85,289],[85,316],[412,135],[412,109],[412,289],[412,316],[71,135],[71,109],[71,289],[71,316],[42,135],[42,109],[42,289],[42,316]]",2025-01-24T20:41:14.398805504Z,"[85,412,71,42]",2025-01-24T20:41:14.398805504Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T20:04:01.202008193Z,full-comp-between,2025-01-24T20:04:01.202008193Z
01JJCNV0ZHF4EPQFT6D95FJRN6,2,2025-01-24T17:53:39.168612634Z,01JJCNV0Z8Z1SW8C7CVGNM2S57,2025-01-24T17:30:30.2572069Z,"[188,420,140,371]",2025-01-24T17:53:39.275504903Z,4,2025-01-24T17:53:39.181414245Z,comp-between,2025-01-24T17:53:39.181414245Z,true,2025-01-24T18:27:39.547728661Z,false,2025-01-24T17:53:39.181414245Z,end of game,2025-01-24T18:27:39.580549123Z,01JJCNV0ZX5BMQQH439YRSRJQN,2025-01-24T17:30:30.271362105Z,false,2025-01-24T17:53:42.084602807Z,5,2025-01-24T17:53:39.181414245Z,0,2025-01-24T18:00:05.667156721Z,0,2025-01-24T17:53:39.181414245Z,63,2025-01-24T17:53:39.275504903Z,1,2025-01-24T17:53:39.181414245Z,null,2025-01-24T18:27:39.547728661Z,true,2025-01-24T17:53:39.168612634Z,true,2025-01-24T17:53:39.168612634Z,ended,2025-01-24T18:27:39.580549123Z,"[[460,188],[460,420],[460,140],[460,371],[98,188],[98,420],[98,140],[98,371],[461,188],[461,420],[461,140],[461,371],[302,188],[302,420],[302,140],[302,371]]",2025-01-24T17:53:39.275504903Z,"[460,98,461,302]",2025-01-24T17:53:39.275504903Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T17:30:30.2572069Z,full-comp-between,2025-01-24T17:30:30.2572069Z
01JJCNV6GW5DRX5EM3YNX2SXSZ,2,2025-01-24T18:21:15.057814726Z,01JJCNV6GQHJV71FATEHXM7RQY,2025-01-24T17:30:35.932437513Z,"[448,48,273,468]",2025-01-24T18:21:15.865489813Z,4,2025-01-24T18:21:15.115936136Z,comp-between,2025-01-24T18:21:15.115936136Z,true,2025-01-24T18:54:33.479887744Z,false,2025-01-24T18:21:15.115936136Z,end of game,2025-01-24T18:54:33.513573665Z,01JJCNV6H5PH6RYT0PK60N3WXN,2025-01-24T17:30:35.94253116Z,false,2025-01-24T18:21:31.876099824Z,5,2025-01-24T18:21:15.115936136Z,0,2025-01-24T18:39:08.23515143Z,0,2025-01-24T18:21:15.115936136Z,63,2025-01-24T18:21:15.865489813Z,1,2025-01-24T18:21:15.115936136Z,null,2025-01-24T18:54:33.479887744Z,true,2025-01-24T18:21:15.057814726Z,true,2025-01-24T18:21:15.057814726Z,ended,2025-01-24T18:54:33.513573665Z,"[[67,448],[67,48],[67,273],[67,468],[191,448],[191,48],[191,273],[191,468],[133,448],[133,48],[133,273],[133,468],[53,448],[53,48],[53,273],[53,468]]",2025-01-24T18:21:15.865489813Z,"[67,191,133,53]",2025-01-24T18:21:15.865489813Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T17:30:35.932437513Z,full-comp-between,2025-01-24T17:30:35.932437513Z
01JJCNV6TK4KW3QH1W5ZBAEYVC,2,2025-01-24T18:21:40.712005347Z,01JJCNV6TCRAVT45GMNJY2TGZ3,2025-01-24T17:30:36.243227664Z,"[302,403,229,322]",2025-01-24T18:21:41.547871444Z,4,2025-01-24T18:21:40.773359846Z,comp-between,2025-01-24T18:21:40.773359846Z,true,2025-01-24T18:27:12.923972539Z,true,2025-01-24T18:27:12.909885798Z,timeOut,2025-01-24T18:27:12.909885798Z,01JJCNV6TXE5RC4N9EH8CNRY01,2025-01-24T17:30:36.254246703Z,false,2025-01-24T18:21:56.544423578Z,5,2025-01-24T18:21:40.773359846Z,5,2025-01-24T18:27:12.909885798Z,0,2025-01-24T18:21:40.773359846Z,63,2025-01-24T18:21:41.547871444Z,1,2025-01-24T18:21:40.773359846Z,null,2025-01-24T18:27:12.923972539Z,true,2025-01-24T18:21:40.712005347Z,true,2025-01-24T18:21:40.712005347Z,ended,2025-01-24T18:27:12.909885798Z,"[[392,302],[392,403],[392,229],[392,322],[270,302],[270,403],[270,229],[270,322],[236,302],[236,403],[236,229],[236,322],[18,302],[18,403],[18,229],[18,322]]",2025-01-24T18:21:41.547871444Z,"[392,270,236,18]",2025-01-24T18:21:41.547871444Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T17:30:36.243227664Z,full-comp-between,2025-01-24T17:30:36.243227664Z
01JJCNV7CQ5HZ4R38M0BHWBWDD,2,2025-01-24T20:06:54.427588137Z,01JJCNV7CKNKDEYHCKEA6VSS64,2025-01-24T17:30:36.823451206Z,"[17,216,278,212]",2025-01-24T20:06:55.987364442Z,4,2025-01-24T20:06:54.55561041Z,comp-between,2025-01-24T20:06:54.55561041Z,true,2025-01-24T20:42:55.581092361Z,false,2025-01-24T20:06:54.55561041Z,end of game,2025-01-24T20:42:55.675589444Z,01JJCNV7CZ45ZV2F20P5M6ATQ3,2025-01-24T17:30:36.833102041Z,false,2025-01-24T20:07:50.210220675Z,5,2025-01-24T20:06:54.55561041Z,0,2025-01-24T20:06:54.55561041Z,270,2025-01-24T20:06:54.55561041Z,63,2025-01-24T20:06:55.987364442Z,1,2025-01-24T20:06:54.55561041Z,null,2025-01-24T20:42:55.581092361Z,true,2025-01-24T20:06:54.427588137Z,true,2025-01-24T20:06:54.427588137Z,ended,2025-01-24T20:42:55.675589444Z,"[[81,17],[81,216],[81,278],[81,212],[266,17],[266,216],[266,278],[266,212],[408,17],[408,216],[408,278],[408,212],[424,17],[424,216],[424,278],[424,212]]",2025-01-24T20:06:55.987364442Z,"[81,266,408,424]",2025-01-24T20:06:55.987364442Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-24T17:30:36.823451206Z,full-comp-between,2025-01-24T17:30:36.823451206Z
